year,rank,player,team,points,percentages
1956,1st,Stanley Matthews,Blackpool,47.0,37.9
1956,2nd,Alfredo Di Stéfano,Real Madrid,44.0,35.48
1956,3rd,Raymond Kopa,Real Madrid,33.0,26.61
1957,1st,Alfredo Di Stéfano,Real Madrid,72.0,58.54
1957,2nd,Billy Wright,Wolverhampton Wanderers,19.0,15.45
1957,3rd,Duncan Edwards,Manchester United,16.0,13.01
1957,3rd,Raymond Kopa,Real Madrid,16.0,13.01
1958,1st,Raymond Kopa,Real Madrid,71.0,52.99
1958,2nd,Helmut Rahn,Rot-Weiss Essen,40.0,29.85
1958,3rd,Just Fontaine,Stade de Reims,23.0,17.16
1959,1st,Alfredo Di Stéfano,Real Madrid,80.0,54.79
1959,2nd,Raymond Kopa,Stade de Reims,42.0,28.77
1959,3rd,John Charles,Juventus,24.0,16.44
1960,1st,Luis Suárez,Barcelona,54.0,43.55
1960,2nd,Ferenc Puskás,Real Madrid,37.0,29.84
1960,3rd,Uwe Seeler,Hamburg,33.0,26.61
1961,1st,Omar Sívori,Juventus,46.0,42.59
1961,2nd,Luis Suárez,Internazionale,40.0,37.04
1961,3rd,Johnny Haynes,Fulham,22.0,20.37
1962,1st,Josef Masopust,Dukla Prague,65.0,43.05
1962,2nd,Eusébio,Benfica,53.0,35.1
1962,3rd,Karl-Heinz Schnellinger,Köln,33.0,21.85
1963,1st,Lev Yashin,Dynamo Moscow,73.0,41.01
1963,2nd,Gianni Rivera,Milan,55.0,30.9
1963,3rd,Jimmy Greaves,Tottenham Hotspur,50.0,28.09
1964,1st,Denis Law,Manchester United,61.0,42.96
1964,2nd,Luis Suárez,Internazionale,43.0,30.28
1964,3rd,Amancio,Real Madrid,38.0,26.76
1965,1st,Eusébio,Benfica,67.0,39.18
1965,2nd,Giacinto Facchetti,Internazionale,59.0,34.5
1965,3rd,Luis Suárez,Internazionale,45.0,26.32
1966,1st,Bobby Charlton,Manchester United,81.0,36.82
1966,2nd,Eusébio,Benfica,80.0,36.36
1966,3rd,Franz Beckenbauer,Bayern Munich,59.0,26.82
1967,1st,Flórián Albert,Ferencváros,68.0,46.26
1967,2nd,Bobby Charlton,Manchester United,40.0,27.21
1967,3rd,Jimmy Johnstone,Celtic,39.0,26.53
1968,1st,George Best,Manchester United,61.0,38.12
1968,2nd,Bobby Charlton,Manchester United,53.0,33.12
1968,3rd,Dragan Džajić,Red Star Belgrade,46.0,28.75
1969,1st,Gianni Rivera,Milan,83.0,41.5
1969,2nd,Luigi Riva,Cagliari,79.0,39.5
1969,3rd,Gerd Müller,Bayern Munich,38.0,19.0
1970,1st,Gerd Müller,Bayern Munich,77.0,36.32
1970,2nd,Bobby Moore,West Ham United,70.0,33.02
1970,3rd,Luigi Riva,Cagliari,65.0,30.66
1971,1st,Johan Cruyff,Ajax,116.0,50.66
1971,2nd,Sandro Mazzola,Internazionale,57.0,24.89
1971,3rd,George Best,Manchester United,56.0,24.45
1972,1st,Franz Beckenbauer,Bayern Munich,81.0,33.89
1972,2nd,Gerd Müller,Bayern Munich,79.0,33.05
1972,2nd,Günter Netzer,Borussia Mönchengladbach,79.0,33.05
1973,1st,Johan Cruyff,Barcelona,96.0,51.34
1973,2nd,Dino Zoff,Juventus,47.0,25.13
1973,3rd,Gerd Müller,Bayern Munich,44.0,23.53
1974,1st,Johan Cruyff,Barcelona,116.0,45.31
1974,2nd,Franz Beckenbauer,Bayern Munich,105.0,41.02
1974,3rd,Kazimierz Deyna,Legia Warsaw,35.0,13.67
1975,1st,Oleg Blokhin,Dynamo Kyiv,122.0,63.87
1975,2nd,Franz Beckenbauer,Bayern Munich,42.0,21.99
1975,3rd,Johan Cruyff,Barcelona,27.0,14.14
1976,1st,Franz Beckenbauer,Bayern Munich,91.0,41.74
1976,2nd,Rob Rensenbrink,Anderlecht,75.0,34.4
1976,3rd,Ivo Viktor,Dukla Prague,52.0,23.85
1977,1st,Allan Simonsen,Borussia Mönchengladbach,74.0,34.42
1977,2nd,Kevin Keegan,Hamburg,71.0,33.02
1977,3rd,Michel Platini,Nancy,70.0,32.56
1978,1st,Kevin Keegan,Hamburg,87.0,39.91
1978,2nd,Hans Krankl,Barcelona,81.0,37.16
1978,3rd,Rob Rensenbrink,Anderlecht,50.0,22.94
1979,1st,Kevin Keegan,Hamburg,118.0,55.92
1979,2nd,Karl-Heinz Rummenigge,Bayern Munich,52.0,24.64
1979,3rd,Ruud Krol,Ajax,41.0,19.43
1980,1st,Karl-Heinz Rummenigge,Bayern Munich,122.0,64.55
1980,2nd,Bernd Schuster,Barcelona,34.0,17.99
1980,3rd,Michel Platini,Saint-Étienne,33.0,17.46
1981,1st,Karl-Heinz Rummenigge,Bayern Munich,106.0,50.72
1981,2nd,Paul Breitner,Bayern Munich,64.0,30.62
1981,3rd,Bernd Schuster,Barcelona,39.0,18.66
1982,1st,Paolo Rossi,Juventus,115.0,52.75
1982,2nd,Alain Giresse,Bordeaux,64.0,29.36
1982,3rd,Zbigniew Boniek,Juventus,39.0,17.89
1983,1st,Michel Platini,Juventus,110.0,68.32
1983,2nd,Kenny Dalglish,Liverpool,26.0,16.15
1983,3rd,Allan Simonsen,Vejle,25.0,15.53
1984,1st,Michel Platini,Juventus,110.0,51.16
1984,2nd,Jean Tigana,Bordeaux,57.0,26.51
1984,3rd,Preben Elkjær,Hellas Verona,48.0,22.33
1985,1st,Michel Platini,Juventus,127.0,52.05
1985,2nd,Preben Elkjær,Hellas Verona,71.0,29.1
1985,3rd,Bernd Schuster,Barcelona,46.0,18.85
1986,1st,Igor Belanov,Dynamo Kyiv,84.0,40.98
1986,2nd,Gary Lineker,Barcelona,62.0,30.24
1986,3rd,Emilio Butragueño,Real Madrid,59.0,28.78
1987,1st,Ruud Gullit,Milan,106.0,41.09
1987,2nd,Paulo Futre,Atlético Madrid,91.0,35.27
1987,3rd,Emilio Butragueño,Real Madrid,61.0,23.64
1988,1st,Marco van Basten,Milan,129.0,49.24
1988,2nd,Ruud Gullit,Milan,88.0,33.59
1988,3rd,Frank Rijkaard,Milan,45.0,17.18
1989,1st,Marco van Basten,Milan,129.0,51.19
1989,2nd,Franco Baresi,Milan,80.0,31.75
1989,3rd,Frank Rijkaard,Milan,43.0,17.06
